title	author	publisher	price
The Busy Executive's Database Guide	Marjorie Green	Algodata Infosystems	19.99
The Busy Executive's Database Guide	Abraham Bennet	Algodata Infosystems	19.99
Cooking with Computers: Surreptitious Balance Sheets	Michael O'Leary	Algodata Infosystems	11.95
Cooking with Computers: Surreptitious Balance Sheets	Stearns MacFeather	Algodata Infosystems	11.95
The Gourmet Microwave	Michel DeFrance	Binnet & Hardley	2.99
The Gourmet Microwave	Anne Ringer	Binnet & Hardley	2.99
Secrets of Silicon Valley	Ann Dull	Algodata Infosystems	20.00
Secrets of Silicon Valley	Sheryl Hunter	Algodata Infosystems	20.00
Computer Phobic AND Non-Phobic Individuals: Behavior Variations	Stearns MacFeather	Binnet & Hardley	21.59
Computer Phobic AND Non-Phobic Individuals: Behavior Variations	Livia Karsen	Binnet & Hardley	21.59
Is Anger the Enemy?	Anne Ringer	New Moon Books	10.95
Is Anger the Enemy?	Albert Ringer	New Moon Books	10.95
Sushi, Anyone?	Michael O'Leary	Binnet & Hardley	14.99
Sushi, Anyone?	Burt Gringlesby	Binnet & Hardley	14.99
Sushi, Anyone?	Akiko Yokomoto	Binnet & Hardley	14.99
