Index,Id,Name,Sex,Age,Height,Weight,NOC
1,18,Timo Antero Aaltonen,M,31,189,130,FIN
2,20,Kjetil Andr Aamodt,M,20,176,85,NOR
3,20,Kjetil Andr Aamodt,M,20,176,85,NOR
4,20,Kjetil Andr Aamodt,M,20,176,85,NOR
5,20,Kjetil Andr Aamodt,M,20,176,85,NOR
6,20,Kjetil Andr Aamodt,M,22,176,85,NOR
7,20,Kjetil Andr Aamodt,M,22,176,85,NOR
8,20,Kjetil Andr Aamodt,M,22,176,85,NOR
9,20,Kjetil Andr Aamodt,M,22,176,85,NOR
10,20,Kjetil Andr Aamodt,M,22,176,85,NOR
11,20,Kjetil Andr Aamodt,M,26,176,85,NOR
12,20,Kjetil Andr Aamodt,M,26,176,85,NOR
13,20,Kjetil Andr Aamodt,M,26,176,85,NOR
14,20,Kjetil Andr Aamodt,M,26,176,85,NOR
15,20,Kjetil Andr Aamodt,M,30,176,85,NOR
16,20,Kjetil Andr Aamodt,M,30,176,85,NOR
17,20,Kjetil Andr Aamodt,M,30,176,85,NOR
18,20,Kjetil Andr Aamodt,M,30,176,85,NOR
19,20,Kjetil Andr Aamodt,M,30,176,85,NOR
20,20,Kjetil Andr Aamodt,M,34,176,85,NOR
21,20,Kjetil Andr Aamodt,M,34,176,85,NOR
22,34,Jamale (Djamel-) Aarrass (Ahrass-),M,30,187,76,FRA
23,48,Abdelhak Aatakni,M,24,NA,64,MAR
24,49,Moonika Aava,F,24,168,65,EST
25,49,Moonika Aava,F,28,168,65,EST
26,52,Patrick Abada,M,22,189,80,FRA
27,54,Mohamed Jamshid Abadi,M,NA,NA,NA,IRI
28,55,Antonio Abadia Beci,M,26,170,65,ESP
29,57,Borislav Abadzhiev,M,24,176,66,BUL
30,66,Mohamed Abakkar,M,NA,156,48,SUD
31,67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,RUS
32,67,Mariya Vasilyevna Abakumova (-Tarabina),F,26,179,80,RUS
33,77,Antoine Abang,M,27,166,75,CMR
34,86,Jos Manuel Abascal Gmez,M,22,182,67,ESP
35,86,Jos Manuel Abascal Gmez,M,26,182,67,ESP
36,88,Nunu Dzhansuhivna Abashydze (-Myslaieva),F,25,168,105,URS
37,91,Emanuele Abate,M,27,190,80,ITA
38,95,Georgia Abatzidou,F,35,155,43,GRE
39,96,Carlos Rodolfo Abaunza Balladares,M,18,168,60,NCA
40,97,Carlos Alberto Abaunza,M,16,180,70,NCA
41,101,Adeyemi Abayomi,M,25,170,51,NGR
42,104,Gana Abba Kimet,M,26,NA,NA,CHA
43,105,Ilyas Abbadi,M,19,175,75,ALG
44,105,Ilyas Abbadi,M,23,175,75,ALG
45,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23,176,64,KUW
46,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,23,176,64,KUW
47,109,Abdul Latif Al-Sayed Abbas Youssef Hashem,M,27,176,64,KUW
48,110,Abubakar Abbas Abbas,M,20,175,66,BRN
49,111,Aqarab Abbas,M,22,190,88,PAK
50,114,Essa Abbas Faleh Hashem,M,20,160,65,KUW
51,115,Ghulam Abbas,M,24,181,74,PAK
52,117,Maher Abbas,M,22,178,78,LIB
53,117,Maher Abbas,M,22,178,78,LIB
54,121,Muhammad Abbas,M,23,168,55,PAK
55,126,Forough Abbasi,F,20,164,58,IRI
56,129,Ruslan Abbasov,M,22,181,74,AZE
57,160,Ali Abdalla Afringi,M,25,163,57,ERI
58,166,Omari Abdallah,M,21,168,57,TAN
59,166,Omari Abdallah,M,29,168,57,TAN
60,167,Ould Lamine Abdallah,M,NA,NA,NA,FRA
61,168,Younis Abdallah Rabee,M,23,169,68,KUW
62,169,Raida Abdallah Bader,F,19,158,49,JOR
63,175,Abdelgani Hassan Abdel Fattah,M,31,NA,NA,EGY
64,176,Mahmoud Atter Abdel Fattah,M,NA,NA,NA,UAR
65,178,Sayed Abdel Gadir,M,23,180,56,SUD
66,178,Sayed Abdel Gadir,M,32,180,56,SUD
67,179,Ibrahim Saad Abdel Galil,M,NA,176,73,SUD
68,179,Ibrahim Saad Abdel Galil,M,NA,176,73,SUD
69,189,Hwad Ibrahim Abdel Hamid Lumomba,M,NA,162,57,SUD
70,194,Moustafa Mounib Abdel Kader,M,NA,176,67,UAR
71,204,Moustafa Abdel Naser,M,21,176,74,LBA
