Id,Games,City,Sport,Event,Medal
1,2000 Summer,Sydney,Athletics,Athletics Men's Shot Put,NA
2,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Downhill,NA
3,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Super G,Gold
4,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,Bronze
5,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Slalom,NA
6,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Downhill,Silver
7,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Super G,Bronze
8,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
9,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Slalom,NA
10,1994 Winter,Lillehammer,Alpine Skiing,Alpine Skiing Men's Combined,Silver
11,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Downhill,NA
12,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Super G,NA
13,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
14,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NA
15,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NA
16,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
17,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
18,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,NA
19,2002 Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
20,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,NA
21,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
22,2012 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
23,2012 Summer,London,Boxing,Boxing Men's Light-Welterweight,NA
24,2004 Summer,Athina,Athletics,Athletics Women's Javelin Throw,NA
25,2008 Summer,Beijing,Athletics,Athletics Women's Javelin Throw,NA
26,1976 Summer,Montreal,Athletics,Athletics Men's Pole Vault,NA
27,1948 Summer,London,Boxing,Boxing Men's Heavyweight,NA
28,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
29,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,NA
30,1972 Summer,Munich,Boxing,Boxing Men's Flyweight,NA
