ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,athlete_events_sample
103,Silvano Abba,M,25,NA,NA,Italy,ITA,1936 Summer,1936,Summer,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze,[Table]
928,Alfred Ader,M,31,166,60,Poland,POL,1924 Summer,1924,Summer,Paris,Fencing,"Fencing Men's Sabre, Team",NA,[Table]
1020,Adriana Aparecida dos Santos,F,21,180,61,Brazil,BRA,1992 Summer,1992,Summer,Barcelona,Basketball,Basketball Women's Basketball,NA,[Table]
1020,Adriana Aparecida dos Santos,F,25,180,61,Brazil,BRA,1996 Summer,1996,Summer,Atlanta,Basketball,Basketball Women's Basketball,Silver,[Table]
1020,Adriana Aparecida dos Santos,F,29,180,61,Brazil,BRA,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Women's Basketball,Bronze,[Table]
1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21,172,67,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 100 metres,NA,[Table]
1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21,172,67,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 200 metres,NA,[Table]
1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,21,172,67,Austria,AUT,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 80 metres Hurdles,NA,[Table]
1482,"Ingeborg ""Inge"" Aigner (-Weichert)",F,25,172,67,Austria,AUT,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,NA,[Table]
1685,Kayode Akinsanya,M,20,NA,NA,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Men's Singles,NA,[Table]
1685,Kayode Akinsanya,M,20,NA,NA,Nigeria,NGR,1996 Summer,1996,Summer,Atlanta,Badminton,Badminton Mixed Doubles,NA,[Table]
1858,Fehaid Al-Deehani,M,25,178,95,Kuwait,KUW,1992 Summer,1992,Summer,Barcelona,Shooting,Shooting Mixed Trap,NA,[Table]
1858,Fehaid Al-Deehani,M,29,178,95,Kuwait,KUW,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Trap,NA,[Table]
1858,Fehaid Al-Deehani,M,29,178,95,Kuwait,KUW,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Double Trap,NA,[Table]
1858,Fehaid Al-Deehani,M,33,178,95,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Double Trap,Bronze,[Table]
1858,Fehaid Al-Deehani,M,37,178,95,Kuwait,KUW,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,NA,[Table]
1858,Fehaid Al-Deehani,M,45,178,95,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze,[Table]
1858,Fehaid Al-Deehani,M,45,178,95,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Double Trap,NA,[Table]
1858,Fehaid Al-Deehani,M,49,178,95,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold,[Table]
2002,Khalifa Sulaiman Al-Khatry,M,28,172,67,Oman,OMA,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA,[Table]
2002,Khalifa Sulaiman Al-Khatry,M,32,172,67,Oman,OMA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Rifle, 10 metres",NA,[Table]
2002,Khalifa Sulaiman Al-Khatry,M,32,172,67,Oman,OMA,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",NA,[Table]
2050,Issa Al-Mohamedi,M,20,175,70,Qatar,QAT,1984 Summer,1984,Summer,Los Angeles,Football,Football Men's Football,NA,[Table]
2112,Abdullah Al-Rashidi,M,32,183,83,Kuwait,KUW,1996 Summer,1996,Summer,Atlanta,Shooting,Shooting Men's Skeet,NA,[Table]
2112,Abdullah Al-Rashidi,M,37,183,83,Kuwait,KUW,2000 Summer,2000,Summer,Sydney,Shooting,Shooting Men's Skeet,NA,[Table]
2112,Abdullah Al-Rashidi,M,40,183,83,Kuwait,KUW,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Skeet,NA,[Table]
