Report generated on January 2022.
Detailed sales data for year 2021.


ID	Order ID	Customer Name	State	Region-Rep	Product	Category	Quarter	Numeral	Order Date	Shipped Date	Quantity	Price	Total Sales
761	2942	Bit by Bit Fitness	NY	Northeast-Price	Printer	Printers	Quarter 1	First	2/25/2021	2/25/2021	14	$99.99	"$1,419.86"
1571	2943	Luskin's	MT	West-Reyes	Tablet computer	Computers	Quarter 2	Second	5/22/2021	5/23/2021	13	$325.00	"$4,062.50"
197	2944	Leaps & Bounds Travel	MN	Midwest-Alvarez	Bluetooth speaker	Audio-Video	Quarter 1	First	3/12/2021	3/16/2021	18	$154.95	"$2,820.09"
1930	2945	Rudison Technologies	WY	West-Reyes	Laptop	Computers	Quarter 4	Fourth	12/1/2021	12/1/2021	10	$329.25	"$3,292.50"
1165	2946	Cala Foods	KY	Southeast-Oliver	Video game console	Game Consoles	Quarter 1	First	1/24/2021	1/29/2021	11	$349.00	"$3,873.90"
1042	2947	Infinite Wealth	AR	Southeast-Mason	Camera	Cameras and Phones	Quarter 2	Second	5/8/2021	5/8/2021	21	$299.00	"$6,308.90"
317	2948	Rustler Steak House	NE	Midwest-Alvarez	Tablet computer	Computers	Quarter 2	Second	5/31/2021	6/2/2021	23	$325.00	"$7,572.50"
1201	2949	Leaps & Bounds Travel	LA	Southeast-Mason	Mobile phone	Cameras and Phones	Quarter 1	First	1/15/2021	1/15/2021	25	$285.99	"$7,121.15"
595	2950	Rustler Steak House	MD	Northeast-Price	Printer	Printers	Quarter 4	Fourth	12/22/2021	12/28/2021	21	$99.99	"$2,089.79"
544	2951	Realty Zone	MA	Northeast-Price	Music player	Audio-Video	Quarter 1	First	2/28/2021	3/5/2021	11	$134.99	"$1,498.39"
1281	2952	Quest Technology Service	NC	Southeast-Mason	Laptop	Computers	Quarter 3	Third	9/21/2021	9/26/2021	25	$329.25	"$8,231.25"
644	2953	Chloe Community Gallery and Workshop	ME	Northeast-Carter	Television	Audio-Video	Quarter 4	Fourth	12/15/2021	12/20/2021	14	$295.19	"$4,191.70"
473	2954	National Hardgoods Distributors	CT	Northeast-Carter	Music player	Audio-Video	Quarter 2	Second	6/22/2021	6/27/2021	12	$134.99	"$1,660.38"
1931	2955	Knox Lumber	WY	West-Reyes	Printer	Printers	Quarter 3	Third	9/14/2021	9/14/2021	5	$99.99	$519.95
996	2956	Perisolution	AL	Southeast-Oliver	Laptop	Computers	Quarter 3	Third	7/20/2021	7/20/2021	19	$329.25	"$6,222.83"
164	2957	Mr. Steak	MI	Midwest-Tucker	Camera	Cameras and Phones	Quarter 3	Third	8/25/2021	8/30/2021	16	$299.00	"$4,903.60"
1643	2958	Mr. Steak	CA	West-Reyes	Printer	Printers	Quarter 4	Fourth	12/16/2021	12/18/2021	5	$99.99	$529.95
1372	2959	Mixed Messages Media	VA	Southeast-Oliver	Music player	Audio-Video	Quarter 4	Fourth	10/9/2021	10/9/2021	19	$134.99	"$2,537.81"
198	2960	Greene City BBQ Kitchen	MN	Midwest-Alvarez	Bluetooth speaker	Audio-Video	Quarter 3	Third	9/29/2021	9/29/2021	23	$154.95	"$3,548.36"
1346	2961	Perisolution	TN	Southeast-Oliver	Camera	Cameras and Phones	Quarter 1	First	2/1/2021	2/5/2021	20	$299.00	"$6,099.60"
42	2962	National Hardgoods Distributors	IL	Midwest-Alvarez	Tablet computer	Computers	Quarter 2	Second	4/14/2021	4/14/2021	13	$325.00	"$4,355.00"
1730	2963	Flagg Bros. Shoes	HI	West-Reyes	Music player	Audio-Video	Quarter 2	Second	6/12/2021	6/13/2021	14	$134.99	"$1,876.36"
805	2964	Kessel Food Market	PA	Northeast-Price	Video game console	Game Consoles	Quarter 1	First	3/4/2021	3/4/2021	8	$349.00	"$2,722.20"
1086	2965	Sportmart	FL	Southeast-Mason	Television	Audio-Video	Quarter 4	Fourth	11/29/2021	11/30/2021	10	$295.19	"$2,922.38"
1770	2966	John Plain	ID	West-Reyes	Video game console	Game Consoles	Quarter 3	Third	7/30/2021	7/30/2021	15	$349.00	"$5,130.30"
1685	2967	The Wall	CO	West-Reyes	Television	Audio-Video	Quarter 3	Third	9/1/2021	9/3/2021	11	$295.19	"$3,276.61"
474	2968	Earthworks Yard Maintenance	CT	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 3	Third	7/9/2021	7/10/2021	7	$285.99	"$2,059.13"
1686	2969	Coconut's	CO	West-Reyes	Video game console	Game Consoles	Quarter 4	Fourth	10/12/2021	10/18/2021	13	$349.00	"$4,362.50"
1731	2970	Rudison Technologies	HI	West-Reyes	Camera	Cameras and Phones	Quarter 1	First	3/11/2021	3/12/2021	22	$299.00	"$6,578.00"
806	2971	Rite Solution	PA	Northeast-Carter	Bluetooth speaker	Audio-Video	Quarter 1	First	1/27/2021	1/31/2021	24	$154.95	"$3,672.32"
1087	2972	Kessel Food Market	FL	Southeast-Oliver	Television	Audio-Video	Quarter 1	First	3/30/2021	3/31/2021	5	$295.19	"$1,475.95"
762	2973	Whitlocks Auto Supply	NY	Northeast-Price	Printer	Printers	Quarter 2	Second	5/18/2021	5/21/2021	19	$99.99	"$1,869.81"
596	2974	Thorofare	MD	Northeast-Carter	Music player	Audio-Video	Quarter 1	First	2/26/2021	3/2/2021	23	$134.99	"$3,104.77"
128	2975	The Wall	KS	Midwest-Alvarez	Music player	Audio-Video	Quarter 4	Fourth	12/28/2021	12/29/2021	21	$134.99	"$2,767.30"
807	2976	Rite Solution	PA	Northeast-Carter	Television	Audio-Video	Quarter 3	Third	9/11/2021	9/17/2021	16	$295.19	"$4,575.45"
1129	2977	Skaggs-Alpha Beta	GA	Southeast-Mason	Music player	Audio-Video	Quarter 3	Third	7/13/2021	7/13/2021	12	$134.99	"$1,673.88"
1644	2978	Chloe Community Gallery and Workshop	CA	West-Reyes	Printer	Printers	Quarter 3	Third	7/19/2021	7/21/2021	25	$99.99	"$2,449.76"
1246	2979	Bodega Club	MS	Southeast-Oliver	Music player	Audio-Video	Quarter 2	Second	6/12/2021	6/18/2021	17	$134.99	"$2,240.83"
318	2980	Balanced Fortune	NE	Midwest-Tucker	Laptop	Computers	Quarter 3	Third	7/20/2021	7/21/2021	14	$329.25	"$4,609.50"
1645	2981	Franklin Simon	CA	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	10/28/2021	10/29/2021	17	$154.95	"$2,680.64"
916	2982	Bodega Club	OR	NorthWest-Barnes	Music player	Audio-Video	Quarter 1	First	1/12/2021	1/13/2021	20	$134.99	"$2,686.30"
1687	2983	John Plain	CO	West-Reyes	Camera	Cameras and Phones	Quarter 2	Second	6/4/2021	6/4/2021	22	$299.00	"$6,607.90"
1166	2984	Waccamaw Pottery	KY	Southeast-Mason	Television	Audio-Video	Quarter 3	Third	8/27/2021	8/28/2021	23	$295.19	"$6,789.37"
1688	2985	Hughes & Hatcher	CO	West-Reyes	Video game console	Game Consoles	Quarter 1	First	3/21/2021	3/21/2021	12	$349.00	"$4,013.50"
1130	2986	National Auto Parts	GA	Southeast-Mason	Printer	Printers	Quarter 4	Fourth	10/14/2021	10/16/2021	15	$99.99	"$1,489.85"
1771	2987	Leaps & Bounds Travel	ID	West-Reyes	Laptop	Computers	Quarter 2	Second	5/12/2021	5/12/2021	8	$329.25	"$2,699.85"
675	2988	The Record Shops at TSS	NH	Northeast-Carter	Mobile phone	Cameras and Phones	Quarter 2	Second	4/19/2021	4/20/2021	11	$285.99	"$3,117.29"
1202	2989	Ecofriendly Sporting	LA	Southeast-Mason	Television	Audio-Video	Quarter 3	Third	9/26/2021	10/2/2021	11	$295.19	"$3,188.05"
1491	2990	Bettendorf's	ID	West-Reyes	Music player	Audio-Video	Quarter 4	Fourth	12/1/2021	12/4/2021	21	$134.99	"$2,794.29"
1932	2991	Planetbiz	WY	West-Reyes	Bluetooth speaker	Audio-Video	Quarter 4	Fourth	12/24/2021	12/24/2021	25	$154.95	"$3,842.76"
1203	2992	Rudison Technologies	LA	Southeast-Oliver	Bluetooth speaker	Audio-Video	Quarter 2	Second	4/8/2021	4/9/2021	24	$154.95	"$3,703.31"
917	2993	Cardinal Stores	OR	NorthWest-Barnes	Television	Audio-Video	Quarter 3	Third	7/5/2021	7/10/2021	18	$295.19	"$5,195.34"
1167	2994	Olson's Market	KY	Southeast-Mason	Mobile phone	Cameras and Phones	Quarter 2	Second	5/9/2021	5/12/2021	6	$285.99	"$1,630.14"
428	2995	Waccamaw Pottery	WI	Midwest-Tucker	Television	Audio-Video	Quarter 2	Second	6/6/2021	6/12/2021	19	$295.19	"$5,520.05"
1204	2996	My Footprint Sports	LA	Southeast-Mason	Television	Audio-Video	Quarter 2	Second	4/28/2021	4/30/2021	14	$295.19	"$4,162.18"
